"Report Category","Name ---------------------------------------------","LEA Code","Superintendent -------------------","Mailing Or Physical Address --------","City ---------------------","Zip ------------","Telephone ---------","Fax -------------------","E-Mail Address ---------------------------","SBE Dist ----------","Type Description --------------------------------------------------------------","Date Superintendent Name/E-mail AddressRecord Was Added Or Changed"
"D) Laboratory Schools","Aggie Academy","41Z"," Janel Harris-Hamiel","2207-B E. Cone Blvd","Greensboro","27405","(336) 398-5370","-","jnharri3@ncat.edu","Piedmont Triad","Laboratory School","08-23-2022 01:15:42 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Alamance-Burlington Schools","010","Dr Dain Butler","1712 Vaughn Road","Burlington","27217-2916","(336) 570-6060","(336) 570-6218","dain_butler@abss.k12.nc.us","Piedmont Triad","Regular local school district","07-26-2022 10:59:12 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Alexander County Schools","020","Dr Jennifer F Hefner   ","700 Liledoun Road","Taylorsville","28681","(828) 632-7001","(828) 632-8862","jhefner@alexander.k12.nc.us","Northwest","Regular local school district","08-07-2014 02:15:38 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Alleghany County Schools","030","Dr Chad S Beasley","85 Peachtree Street","Sparta","28675-9210","(336) 372-4345","(336) 372-4204","chad.beasley@alleghany.k12.nc.us","Northwest","Regular local school district","07-14-2022 03:12:41 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Anson County Schools","040","Mr Howard E McLean","320 Camden Road","Wadesboro","28170","(704) 694-4417","(704) 694-7479","mclean.howard@anson.k12.nc.us","Southwest","Regular local school district","06-11-2020 11:19:19 AM"
"D) Laboratory Schools","Appalachian State U Academy Middle Fork","34Z","Mr Sean Gaillard","3125 Williston Rd","Walkertown","27051","(336) 748-4090","(336) 727-2942","gaillardsm@appstate.edu","Piedmont Triad","Laboratory School","07-05-2022 01:19:05 PM"
"D) Laboratory Schools","Appalachian State Univ Academy at Elkin","86Z","Mrs Emma Hatfield-Sidden","195 Old Virginia Rd","Elkin","28621","-","-","hatfieldsiddenee@appstate.edu","Piedmont Triad","Laboratory School","07-05-2022 01:15:35 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Ashe County Schools","050","Dr Eisa Cox","PO Box 604","Jefferson","28640-0604","(336) 246-7175","(336) 246-7609","eisa.cox@ashe.k12.nc.us","Northwest","Regular local school district","06-28-2022 11:35:36 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Asheboro City Schools","761","Dr Aaron Woody","PO Box 1103","Asheboro","27204-1103","(336) 625-5104","(336) 625-9238","awoody@asheboro.k12.nc.us","Piedmont Triad","Regular local school district","07-22-2019 11:02:44 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Asheville City Schools","111","Dr James Causby","PO Box 7347","Asheville","28802-7347","(828) 350-7000","(828) 255-5131","james.causby@acsgmail.net","Western","Regular local school district","02-23-2023 08:12:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Avery County Schools","060","Dr Dan Brigman","775 Cranberry Street","Newland","28657-1360","(828) 733-6006","(828) 733-8943","danbrigman@averyschools.net","Northwest","Regular local school district","01-06-2020 03:47:04 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Beaufort County Schools","070","Dr Matthew Cheeseman","321 Smaw Road","Washington","27889-3937","(252) 946-6593","(252) 946-3255","mcheeseman@beaufort.k12.nc.us","Northeast","Regular local school district","07-19-2022 10:04:00 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Bertie County Schools","080","Dr Otis Smallwood","PO Box 10","Windsor","27983-0010","(252) 794-6025","(252) 794-9727","osmallwood@bertie.k12.nc.us","Northeast","Regular local school district","07-24-2019 01:20:39 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Bladen County Schools","090","Dr Jason B Atkinson","PO Box 37","Elizabethtown","28337-0037","(910) 862-4136","(855) 860-6162","jbatkinson@bladen.k12.nc.us","Sandhills","Regular local school district","02-11-2021 09:48:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Brunswick County Schools","100","Mr Les   Tubb","35 Referendum Drive","Bolivia","28422","(910) 406-5100","(866) 293-0649","ltubb@bcswan.net","Southeast","Regular local school district","02-23-2023 08:04:46 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Buncombe County Schools","110","Dr Rob Jackson","175 Bingham Road","Asheville","28806-3800","(828) 232-4160","(828) 255-5923","robert.jackson@bcsemail.org","Western","Regular local school district","10-28-2022 08:10:19 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Burke County Schools","120","Dr Michael Swan","PO Drawer 989","Morganton","28680-0989","(828) 439-4311","(828) 439-4314","mswan@burke.k12.nc.us","Northwest","Regular local school district","06-21-2021 12:14:38 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Cabarrus County Schools","130","Dr John Kopicki","PO Box 388","Concord","28026-0388","(704) 260-5600","(704) 260-5799","john.kopicki@cabarrus.k12.nc.us","Southwest","Regular local school district","08-15-2021 11:14:44 AM"
