district_name,year,original_url,snapshot_timestamp,snapshot_url,snapshot_date,superintendent,legal_name,beds_code,institution_id,scrape_success,scrape_error
ADDISON CSD,2017,https://data.nysed.gov/profile.php?instid=800000038068,20170107014624,https://web.archive.org/web/20170107014624/https://data.nysed.gov/profile.php?instid=800000038068,2017-01-07 01:46:24,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2019,https://data.nysed.gov/profile.php?instid=800000038068,20190501171943,https://web.archive.org/web/20190501171943/https://data.nysed.gov/profile.php?instid=800000038068,2019-05-01 17:19:43,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2020,https://data.nysed.gov/profile.php?instid=800000038068,20201103123228,https://web.archive.org/web/20201103123228/https://data.nysed.gov/profile.php?instid=800000038068,2020-11-03 12:32:28,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2021,https://data.nysed.gov/profile.php?instid=800000038068,20211207034930,https://web.archive.org/web/20211207034930/https://data.nysed.gov/profile.php?instid=800000038068,2021-12-07 03:49:30,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2022,https://data.nysed.gov/profile.php?instid=800000038068,20221004203824,https://web.archive.org/web/20221004203824/https://data.nysed.gov/profile.php?instid=800000038068,2022-10-04 20:38:24,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2023,https://data.nysed.gov/profile.php?instid=800000038068,20231130012735,https://web.archive.org/web/20231130012735/https://data.nysed.gov/profile.php?instid=800000038068,2023-11-30 01:27:35,JOSEPH DIOGUARDI,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2024,https://data.nysed.gov/profile.php?instid=800000038068,20241216031137,https://web.archive.org/web/20241216031137/https://data.nysed.gov/profile.php?instid=800000038068,2024-12-16 03:11:37,JAMES PEIFFER,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADDISON CSD,2025,https://data.nysed.gov/profile.php?instid=800000038068,20250601221449,https://web.archive.org/web/20250601221449/https://data.nysed.gov/profile.php?instid=800000038068,2025-06-01 22:14:49,JAMES PEIFFER,ADDISON CENTRAL SCHOOL DISTRICT,570101040000,800000038068,True,
ADIRONDACK CSD,2017,https://data.nysed.gov/profile.php?instid=800000041461,20170107015107,https://web.archive.org/web/20170107015107/https://data.nysed.gov/profile.php?instid=800000041461,2017-01-07 01:51:07,EDWARD NIZNIK,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2019,https://data.nysed.gov/profile.php?instid=800000041461,20190501172048,https://web.archive.org/web/20190501172048/https://data.nysed.gov/profile.php?instid=800000041461,2019-05-01 17:20:48,EDWARD NIZNIK,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2020,https://data.nysed.gov/profile.php?instid=800000041461,20201128004902,https://web.archive.org/web/20201128004902/https://data.nysed.gov/profile.php?instid=800000041461,2020-11-28 00:49:02,EDWARD NIZNIK,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2021,https://data.nysed.gov/profile.php?instid=800000041461,20211130222532,https://web.archive.org/web/20211130222532/https://data.nysed.gov/profile.php?instid=800000041461,2021-11-30 22:25:32,KRISTY MCGRATH,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2022,https://data.nysed.gov/profile.php?instid=800000041461,20220826161010,https://web.archive.org/web/20220826161010/https://data.nysed.gov/profile.php?instid=800000041461,2022-08-26 16:10:10,KRISTY MCGRATH,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2023,https://data.nysed.gov/profile.php?instid=800000041461,20231204123527,https://web.archive.org/web/20231204123527/https://data.nysed.gov/profile.php?instid=800000041461,2023-12-04 12:35:27,KRISTY MCGRATH,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2024,https://data.nysed.gov/profile.php?instid=800000041461,20241216052210,https://web.archive.org/web/20241216052210/https://data.nysed.gov/profile.php?instid=800000041461,2024-12-16 05:22:10,HEIDI SMITH,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
ADIRONDACK CSD,2025,https://data.nysed.gov/profile.php?instid=800000041461,20250601221617,https://web.archive.org/web/20250601221617/https://data.nysed.gov/profile.php?instid=800000041461,2025-06-01 22:16:17,HEIDI SMITH,ADIRONDACK CENTRAL SCHOOL DISTRICT,410401060000,800000041461,True,
AFTON CSD,2017,https://data.nysed.gov/profile.php?instid=800000054009,20170107015524,https://web.archive.org/web/20170107015524/https://data.nysed.gov/profile.php?instid=800000054009,2017-01-07 01:55:24,ELIZABETH BRIGGS,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2019,https://data.nysed.gov/profile.php?instid=800000054009,20190501172158,https://web.archive.org/web/20190501172158/https://data.nysed.gov/profile.php?instid=800000054009,2019-05-01 17:21:58,MOTHY MCNAMARA,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2020,https://data.nysed.gov/profile.php?instid=800000054009,20201022034934,https://web.archive.org/web/20201022034934/https://data.nysed.gov/profile.php?instid=800000054009,2020-10-22 03:49:34,MOTHY MCNAMARA,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2021,https://data.nysed.gov/profile.php?instid=800000054009,20211204075307,https://web.archive.org/web/20211204075307/https://data.nysed.gov/profile.php?instid=800000054009,2021-12-04 07:53:07,MOTHY MCNAMARA,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2022,https://data.nysed.gov/profile.php?instid=800000054009,20220807190631,https://web.archive.org/web/20220807190631/https://data.nysed.gov/profile.php?instid=800000054009,2022-08-07 19:06:31,HOLAS COLOSI,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2023,https://data.nysed.gov/profile.php?instid=800000054009,20230621213246,https://web.archive.org/web/20230621213246/https://data.nysed.gov/profile.php?instid=800000054009,2023-06-21 21:32:46,HOLAS COLOSI,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2024,https://data.nysed.gov/profile.php?instid=800000054009,20241216075708,https://web.archive.org/web/20241216075708/https://data.nysed.gov/profile.php?instid=800000054009,2024-12-16 07:57:08,ERRANCE DOUGHERTY,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AFTON CSD,2025,https://data.nysed.gov/profile.php?instid=800000054009,20250601221749,https://web.archive.org/web/20250601221749/https://data.nysed.gov/profile.php?instid=800000054009,2025-06-01 22:17:49,ERRANCE DOUGHERTY,AFTON CENTRAL SCHOOL DISTRICT,080101040000,800000054009,True,
AKRON CSD,2017,https://data.nysed.gov/profile.php?instid=800000052061,20170107015825,https://web.archive.org/web/20170107015825/https://data.nysed.gov/profile.php?instid=800000052061,2017-01-07 01:58:25,KEVIN SHANLEY,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2019,https://data.nysed.gov/profile.php?instid=800000052061,20190501172310,https://web.archive.org/web/20190501172310/https://data.nysed.gov/profile.php?instid=800000052061,2019-05-01 17:23:10,KEVIN SHANLEY,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2020,https://data.nysed.gov/profile.php?instid=800000052061,20201027210037,https://web.archive.org/web/20201027210037/https://data.nysed.gov/profile.php?instid=800000052061,2020-10-27 21:00:37,PATRICK MCCABE,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2021,https://data.nysed.gov/profile.php?instid=800000052061,20211130212455,https://web.archive.org/web/20211130212455/https://data.nysed.gov/profile.php?instid=800000052061,2021-11-30 21:24:55,PATRICK MCCABE,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2022,https://data.nysed.gov/profile.php?instid=800000052061,20220811204959,https://web.archive.org/web/20220811204959/https://data.nysed.gov/profile.php?instid=800000052061,2022-08-11 20:49:59,PATRICK MCCABE,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2023,https://data.nysed.gov/profile.php?instid=800000052061,20230621213519,https://web.archive.org/web/20230621213519/https://data.nysed.gov/profile.php?instid=800000052061,2023-06-21 21:35:19,PATRICK MCCABE,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2024,https://data.nysed.gov/profile.php?instid=800000052061,20241216093116,https://web.archive.org/web/20241216093116/https://data.nysed.gov/profile.php?instid=800000052061,2024-12-16 09:31:16,ANDREA KERSTEN,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
AKRON CSD,2025,https://data.nysed.gov/profile.php?instid=800000052061,20250601221849,https://web.archive.org/web/20250601221849/https://data.nysed.gov/profile.php?instid=800000052061,2025-06-01 22:18:49,ANDREA KERSTEN,AKRON CENTRAL SCHOOL DISTRICT,142101040000,800000052061,True,
ALBANY CITY SCHOOL DISTRICT,2017,https://data.nysed.gov/profile.php?instid=800000055729,20170107020201,https://web.archive.org/web/20170107020201/https://data.nysed.gov/profile.php?instid=800000055729,2017-01-07 02:02:01,KIMBERLY YOUNG WILKINS,ALBANY CITY SCHOOL DISTRICT,010100010000,800000055729,True,
ALBANY CITY SCHOOL DISTRICT,2019,https://data.nysed.gov/profile.php?instid=800000055729,20190501172459,https://web.archive.org/web/20190501172459/https://data.nysed.gov/profile.php?instid=800000055729,2019-05-01 17:24:59,KAWEEDA ADAMS,ALBANY CITY SCHOOL DISTRICT,010100010000,800000055729,True,
