District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation,Oregon On-Time Graduation Average
2063,Adel SD 21,Lake,Jack Thompson,8,*,1,*,*,*,<1,1,0,0,0,<1,100%,*,74%,*,83%
2113,Adrian SD 61,Malheur,Kevin Purnell,261,16%,3,18%,58%,18%,2,17,10,1,<1,0,100%,89%,74%,95%,83%
1899,Alsea SD 7J,Benton,Marc Thielman,858,*,7,15%,55%,67%,4,26,20,0,0,0,53%,49%,74%,39%,83%
2252,Amity SD 4J,Yamhill,Jeff Clark,760,10%,3,17%,35%,11%,5,50,13,2,<1,0,82%,61%,74%,93%,83%
2111,Annex SD 29,Malheur,Steve Bishop,90,*,2,11%,>95%,18%,1,8,7,0,0,0,100%,*,74%,*,83%
2005,Arlington SD 3,Gilliam,Kevin Hunking,164,*,2,*,*,19%,1,15,0,0,0,0,47%,94%,74%,85%,83%
2115,Arock SD 81,Malheur,Vicki McConnell,15,*,2,*,*,*,0,3,<1,0,0,0,67%,*,74%,*,83%
2041,Ashland SD 5,Jackson,Samuel Bogdanove,2476,<5%,18,14%,>95%,12%,12,147,62,8,2,<1,85%,74%,74%,94%,83%
2051,Ashwood SD 8,Jefferson,Melanie Friend,9,*,1,*,*,*,0,1,<1,0,0,0,100%,*,74%,*,83%
1933,Astoria SD 1,Clatsop,Craig Hoppes,1785,10%,14,15%,42%,10%,8,109,58,6,0,1,80%,57%,74%,91%,83%
2208,Athena-Weston SD 29RJ,Umatilla,Laure  Quaresma,558,*,5,15%,74%,15%,4,39,11,1,0,0,84%,85%,74%,91%,83%
1894,Baker SD 5J,Baker,Mark Witty,4697,<5%,13,13%,41%,16%,17,212,42,20,0,1,75%,73%,74%,85%,83%
1969,Bandon SD 54,Coos,Shauna Schmerer,606,*,3,13%,56%,17%,3,36,23,0,0,0,84%,54%,74%,87%,83%
2240,Banks SD 13,Washington,Jeff Leo,1014,5%,13,15%,22%,10%,6,54,12,2,0,1,88%,80%,74%,96%,83%
2243,Beaverton SD 48J,Washington,Don Grotting,39323,27%,93,13%,40%,8%,111,2129,426,140,3,38,90%,80%,74%,89%,83%
1976,Bend-LaPine Administrative SD 1,Deschutes,Lora Nordquist,17375,7%,31,11%,36%,22%,66,885,199,35,5,15,91%,77%,74%,86%,83%
2088,Bethel SD 52,Lane,Kraig Sproles,5148,13%,15,19%,60%,9%,20,263,135,13,0,2,80%,79%,74%,79%,83%
2095,Blachly SD 90,Lane,Adam Watkins,216,*,1,24%,39%,17%,2,16,4,1,0,0,82%,59%,74%,63%,83%
2052,Black Butte SD 41,Jefferson,Kirstin Anglea,22,*,2,*,*,*,0,4,0,0,0,0,75%,*,74%,*,83%
1974,Brookings-Harbor SD 17C,Curry,David Marshall,1397,5%,6,18%,>95%,12%,8,77,31,4,0,1,74%,69%,74%,84%,83%
1896,Burnt River SD 30J,Baker,Louise Lyon,30,*,1,*,60%,35%,<1,4,<1,0,0,0,100%,*,74%,100%,83%
2046,Butte Falls SD 91,Jackson,Phil Long,225,*,2,21%,>95%,24%,2,17,8,0,0,0,93%,60%,74%,94%,83%
1995,Camas Valley SD 21J,Douglas,Don Wonsley,225,*,1,19%,52%,8%,2,18,6,0,0,0,88%,>95%,74%,69%,83%
1929,Canby SD 86,Clackamas,Samuel (Trip) Goodall,4140,26%,24,14%,36%,9%,15,237,70,10,1,5,89%,55%,74%,91%,83%
2139,Cascade SD 5,Marion,Darin Drill,2465,10%,11,16%,39%,15%,14,130,58,7,1,0,81%,90%,74%,89%,83%
2185,Centennial SD 28J,Multnomah,James Owens,5662,41%,65,14%,61%,8%,17,272,72,13,<1,5,89%,63%,74%,81%,83%
1972,Central Curry SD 1,Curry,Tim Wilson,439,*,2,13%,54%,17%,3,27,11,2,0,0,71%,77%,74%,77%,83%
2105,Central Linn SD 552,Linn,Brian Gardner,570,6%,3,17%,21%,20%,3,37,5,1,0,<1,69%,79%,74%,63%,83%
2042,Central Point SD 6,Jackson,Walt Davenport,4726,8%,17,15%,68%,11%,18,226,129,2,0,3,80%,59%,74%,78%,83%
2191,Central SD 13J,Polk,Jennifer Kubista,3113,30%,17,13%,58%,11%,10,159,74,5,0,0,82%,46%,74%,84%,83%
1945,Clatskanie SD 6J,Columbia,Cathy Hurowitz,650,<5%,2,24%,>95%,18%,4,35,22,1,0,1,72%,62%,74%,85%,83%
1927,Colton SD 53,Clackamas,Dave Kline,506,*,6,14%,28%,12%,4,34,4,1,0,1,81%,53%,74%,91%,83%
2006,Condon SD 25J,Gilliam,Michelle Geer,139,*,2,14%,47%,10%,1,11,<1,0,0,0,71%,*,74%,75%,83%
1965,Coos Bay SD 9,Coos,Bryan Trendell,3003,<5%,15,17%,>95%,13%,13,172,57,6,1,4,75%,63%,74%,80%,83%
1964,Coquille SD 8,Coos,Tim Sweeney,1388,<5%,4,15%,>95%,19%,10,68,33,2,0,0,61%,42%,74%,63%,83%
2186,Corbett SD 39,Multnomah,Dan Wold,1080,<5%,16,16%,24%,<5%,5,53,14,0,0,0,82%,80%,74%,95%,83%
1901,Corvallis SD 509J,Benton,Ryan Noss,6378,15%,55,11%,27%,13%,25,347,138,16,1,2,87%,79%,74%,90%,83%
2216,Cove SD 15,Union,Earl Pettit,265,*,4,5%,15%,17%,2,17,5,0,0,0,94%,71%,74%,84%,83%
2086,Creswell SD 40,Lane,Michael Johnson,1155,6%,3,16%,51%,12%,7,62,16,3,0,0,82%,34%,74%,84%,83%
1970,Crook County SD,Crook,Sara Johnson,3057,8%,18,15%,46%,28%,16,173,57,5,0,<1,75%,87%,74%,80%,83%
2089,Crow-Applegate-Lorane SD 66,Lane,Heidi Brown,252,*,2,11%,26%,13%,2,20,6,0,0,0,87%,91%,74%,83%,83%
2050,Culver SD 4,Jefferson,Stefanie Garber,647,21%,2,17%,>95%,12%,4,42,13,3,0,<1,70%,80%,74%,94%,83%
2190,Dallas SD 2,Polk,Andy Bellando,3062,<5%,8,17%,32%,13%,12,160,94,6,2,1,77%,75%,74%,86%,83%
2187,David Douglas SD 40,Multnomah,Ken Richardson,9121,44%,62,12%,>95%,7%,29,496,174,23,0,4,86%,63%,74%,84%,83%
2253,Dayton SD 8,Yamhill,Steven Sugg,948,23%,2,14%,>95%,10%,5,55,17,3,0,0,71%,89%,74%,73%,83%
2011,Dayville SD 16J,Grant,Brandon Haberly,61,*,1,*,>95%,*,1,6,4,0,0,0,57%,*,74%,100%,83%
2017,Diamond SD 7,Harney,Shannon Criss,5,*,1,*,*,*,0,1,0,0,0,0,0%,*,74%,*,83%
2021,Double O SD 28,Harney,Karla Neuschwander,4,*,1,*,*,*,0,1,0,0,0,0,100%,*,74%,*,83%
1993,Douglas County SD 15,Douglas,Steve Woods,200,*,2,17%,47%,17%,2,17,5,<1,0,0,45%,61%,74%,85%,83%
1991,Douglas County SD 4,Douglas,Jared Cordon,5578,<5%,21,13%,>95%,20%,22,335,126,16,1,5,78%,71%,74%,68%,83%
2019,Drewsey SD 13,Harney,Jodi Miller,8,*,1,*,*,*,0,1,1,0,0,0,100%,*,74%,*,83%
2229,Dufur SD 29,Wasco,Jack Henderson,350,*,3,17%,>95%,9%,1,21,10,1,0,0,86%,75%,74%,81%,83%
2043,Eagle Point SD 9,Jackson,Andrew Kovach,4069,18%,23,15%,78%,24%,15,204,103,3,1,2,74%,69%,74%,83%,83%
2203,Echo SD 5,Umatilla,Raymon Smith,285,<5%,4,14%,42%,7%,2,20,4,1,0,0,86%,>95%,74%,86%,83%
2217,Elgin SD 23,Union,Dianne Greif,420,*,4,15%,71%,13%,2,32,3,0,0,0,74%,88%,74%,83%,83%
1998,Elkton SD 34,Douglas,Andy Boe,228,*,5,10%,56%,15%,2,18,2,0,0,0,74%,85%,74%,95%,83%
2221,Enterprise SD 21,Wallowa,Erika Pinkerton,376,*,3,19%,>95%,13%,2,28,13,0,0,0,91%,>95%,74%,85%,83%
1930,Estacada SD 108,Clackamas,Ryan Carpenter,3146,10%,30,10%,62%,11%,11,122,26,5,0,1,74%,66%,74%,78%,83%
2082,Eugene SD 4J,Lane,Cydney Vandercar,16506,7%,48,14%,47%,11%,65,847,292,44,4,15,83%,77%,74%,82%,83%
2193,Falls City SD 57,Polk,Art Houghtaling,180,*,1,22%,>95%,21%,2,18,8,1,0,0,78%,70%,74%,82%,83%
2084,Fern Ridge SD 28J,Lane,Gary Carpenter,1397,<5%,1,18%,>95%,14%,9,75,34,2,0,0,83%,71%,74%,67%,83%
2241,Forest Grove SD 15,Washington,David Parker,5762,36%,45,16%,58%,7%,20,309,145,17,0,6,83%,67%,74%,82%,83%
2248,Fossil SD 21J,Wheeler,Jim Smith,1335,*,2,9%,26%,10%,1,34,2,0,0,0,83%,*,74%,100%,83%
2020,Frenchglen SD 16,Harney,Carolyn Koskela,8,*,1,*,*,*,0,1,0,0,0,0,100%,*,74%,*,83%
2245,Gaston SD 511J,Washington,Susy McKenzie,504,<5%,4,15%,37%,7%,4,31,14,2,0,0,83%,65%,74%,91%,83%
2137,Gervais SD 1,Marion,Dandy Stevens,1480,36%,10,14%,71%,16%,9,84,22,4,0,<1,80%,71%,74%,79%,83%
1931,Gladstone SD 115,Clackamas,Bob Stewart,1778,10%,18,15%,36%,8%,9,95,12,4,1,2,84%,69%,74%,93%,83%
2000,Glendale SD 77,Douglas,David Hanson,296,*,1,19%,>95%,34%,3,17,12,0,0,0,61%,60%,74%,68%,83%
1992,Glide SD 12,Douglas,Mike Narkiewicz,692,*,4,16%,>95%,14%,5,47,18,1,0,0,71%,85%,74%,92%,83%
2054,Grants Pass SD 7,Josephine,Kirk Kolb,5522,<5%,21,14%,>95%,19%,20,301,145,12,1,2,85%,77%,74%,78%,83%
2100,Greater Albany Public SD 8J,Linn,Rob Saxton,8943,13%,25,15%,45%,15%,34,466,220,16,2,3,79%,67%,74%,87%,83%
2183,Gresham-Barlow SD 10J,Multnomah,A. Katrise Perera,11609,24%,73,14%,47%,9%,40,555,160,27,1,6,77%,75%,74%,78%,83%
2014,Harney County SD 3,Harney,Steve  Quick,728,*,3,13%,38%,14%,5,49,21,0,1,0,65%,83%,74%,86%,83%
2015,Harney County SD 4,Harney,Matthew Hawley,805,*,2,6%,18%,19%,2,32,<1,0,0,0,77%,84%,74%,55%,83%
2023,Harney County Union High SD 1J,Harney,Matthew Hawley,1176,*,3,<5%,14%,27%,2,37,<1,0,0,0,82%,71%,74%,91%,83%
2114,Harper SD 66,Malheur,Ron Talbot,215,5%,2,13%,>95%,28%,1,10,6,0,0,0,100%,93%,74%,92%,83%
2099,Harrisburg SD 7J,Linn,Bryan Starr,715,7%,6,16%,58%,15%,4,49,23,2,0,<1,79%,70%,74%,95%,83%
2201,Helix SD 1,Umatilla,Darrick Cope,160,*,1,16%,21%,11%,1,16,1,<1,0,0,85%,*,74%,70%,83%
2206,Hermiston SD 8,Umatilla,Tricia Mooney,5499,38%,18,13%,>95%,10%,16,311,80,12,0,2,69%,72%,74%,84%,83%
2239,Hillsboro SD 1J,Washington,Mike Scott,19141,33%,138,17%,59%,9%,55,875,407,69,1,9,83%,85%,74%,87%,83%
2024,Hood River County SD,Hood River,Rich Polkinghorn,3794,38%,3,13%,59%,9%,20,240,79,14,<1,2,87%,80%,74%,92%,83%
1895,Huntington SD 16J,Baker,Scott Bullock,89,*,1,*,16%,35%,1,7,0,0,0,0,80%,*,74%,44%,83%
2215,Imbler SD 11,Union,Angie Lakey Campbell,271,*,3,12%,24%,11%,2,22,4,0,0,0,91%,>95%,74%,86%,83%
3997,Ione SD R2,Morrow,Rollie Marshall,151,17%,2,19%,47%,16%,2,17,3,0,0,0,82%,60%,74%,94%,83%
2053,Jefferson County SD 509J,Jefferson,Jay Mathisen,2737,40%,7,18%,>95%,12%,13,173,82,10,1,1,70%,75%,74%,85%,83%
2140,Jefferson SD 14J,Marion,Brad Capener,794,16%,4,17%,56%,15%,6,45,14,2,0,0,83%,74%,74%,93%,83%
1934,Jewell SD 8,Clatsop,Stephen Phillips,114,*,1,18%,59%,31%,2,15,5,2,0,<1,71%,*,74%,100%,83%
2008,John Day SD 3,Grant,Bret Uptmor,509,*,3,14%,>95%,13%,5,39,13,0,0,0,64%,78%,74%,87%,83%
2107,Jordan Valley SD 3,Malheur,Rusty Bengoa,49,*,1,*,76%,*,<1,9,3,0,0,0,67%,*,74%,100%,83%
2219,Joseph SD 6,Wallowa,Lance Homan,273,*,1,11%,>95%,13%,2,19,3,<1,0,0,94%,>95%,74%,93%,83%
2091,Junction City SD 69,Lane,Troy Stoops,1603,6%,3,16%,>95%,15%,8,94,43,6,0,2,76%,73%,74%,78%,83%
2109,Juntura SD 12,Malheur,Brooke Bezona,5,*,2,*,*,*,0,1,0,0,0,0,0%,*,74%,*,83%
2057,Klamath County SD,Klamath,Glen Syzmoniak,6851,10%,17,15%,>95%,16%,38,362,121,12,0,0,81%,79%,74%,84%,83%
2056,Klamath Falls City Schools,Klamath,Keith Brown,2765,8%,16,19%,>95%,29%,14,139,87,3,0,0,74%,48%,74%,73%,83%
2262,Knappa SD 4,Clatsop,William Fritz,490,<5%,8,17%,29%,11%,3,32,12,2,0,<1,69%,90%,74%,93%,83%
2212,La Grande SD 1,Union,George Mendoza,1959,5%,24,18%,48%,18%,10,130,56,8,1,0,78%,76%,74%,89%,83%
2059,Lake County SD 7,Lake,Michael Carter,729,10%,5,15%,35%,22%,5,52,17,2,0,<1,73%,79%,74%,92%,83%
1923,Lake Oswego SD 7J,Clackamas,Jennifer Schiele,6801,5%,64,11%,>95%,8%,25,391,109,19,2,7,85%,>95%,74%,96%,83%
2101,Lebanon Community SD 9,Linn,Bo Yates,3792,<5%,12,17%,81%,22%,17,219,124,11,0,2,73%,53%,74%,76%,83%
2097,Lincoln County SD,Lincoln,Karen Gray,5048,14%,26,16%,>95%,17%,30,295,85,12,0,5,67%,66%,74%,80%,83%
2012,Long Creek SD 17,Grant,Jennifer Garinger,38,*,2,*,>95%,*,0,5,2,0,0,0,100%,*,74%,67%,83%
2092,Lowell SD 71,Lane,Johnie Matthews,1250,<5%,5,11%,31%,20%,7,51,13,1,0,0,60%,78%,74%,95%,83%
2085,Mapleton SD 32,Lane,Jodi O'Mara,125,*,2,21%,>95%,23%,2,13,6,1,1,0,77%,27%,74%,90%,83%
2094,Marcola SD 79J,Lane,Terry Augustadt,750,*,2,11%,19%,12%,4,29,6,<1,0,0,77%,67%,74%,77%,83%
