"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"a kermavner","3904508","2009","oh","Wickliffe City","A W. Kermavner","3904717","2018-2020","oh","Cardinal Local","A W. Kermavner"
"a paul scott","3610440","2012","ny","Elizabethtown-Lewis Csd","Mr. A Paul Scott","3618750","2014","ny","Mayfield Csd","Mr. A Paul Scott"
"a paul scott","3610440","2012","ny","Elizabethtown-Lewis Csd","Mr. A Paul Scott","3621250","2013","ny","Northeastern Clinton Csd","Mr. A Paul Scott"
"a paul scott","3610440","2012","ny","Elizabethtown-Lewis Csd","Mr. A Paul Scott","3631080","2018","ny","Westport Csd","Mr. A Paul Scott"
"a paul scott","3618750","2014","ny","Mayfield Csd","Mr. A Paul Scott","3631080","2018","ny","Westport Csd","Mr. A Paul Scott"
"a paul scott","3621250","2013","ny","Northeastern Clinton Csd","Mr. A Paul Scott","3618750","2014","ny","Mayfield Csd","Mr. A Paul Scott"
"a paul scott","3621250","2013","ny","Northeastern Clinton Csd","Mr. A Paul Scott","3631080","2018","ny","Westport Csd","Mr. A Paul Scott"
"a paul scott","3622830","2010-2011","ny","Peru Csd","Mr. A. Paul Scott","3610440","2012","ny","Elizabethtown-Lewis Csd","Mr. A Paul Scott"
"a paul scott","3622830","2010-2011","ny","Peru Csd","Mr. A. Paul Scott","3618750","2014","ny","Mayfield Csd","Mr. A Paul Scott"
"a paul scott","3622830","2010-2011","ny","Peru Csd","Mr. A. Paul Scott","3621250","2013","ny","Northeastern Clinton Csd","Mr. A Paul Scott"
"a paul scott","3622830","2010-2011","ny","Peru Csd","Mr. A. Paul Scott","3631080","2018","ny","Westport Csd","Mr. A Paul Scott"
"aarol broyles","500405","2020-2022","ar","Cossatot River School District","BROYLES, TYLER","506540","2023-2024","ar","Gentry School District","Broyles, Aarol T."
"aaron black","1803180","2018-2023","in","Randolph Eastern School Corp","Aaron Black","1805880","2024","in","Liberty-Perry Community Sch Corp","Aaron Black"
"aaron case","1805280","2015-2017","in","Kankakee Valley School Corp","Aaron Case","1809000","2018-2024","in","East Porter County School Corp","Aaron Case"
"aaron cornman","2911220","2022","mo","East Prairie R-Ii","AARON CORNMAN","2925450","2024","mo","Poplar Bluff R-I","AARON CORNMAN"
"aaron cornman","2914430","2014-2018","mo","Hillsboro R-Iii","AARON CORNMAN","2911220","2022","mo","East Prairie R-Ii","AARON CORNMAN"
"aaron cornman","2914430","2014-2018","mo","Hillsboro R-Iii","AARON CORNMAN","2925450","2024","mo","Poplar Bluff R-I","AARON CORNMAN"
"aaron cornman","2925110","2012-2013","mo","Pierce City R-Vi","AARON CORNMAN","2911220","2022","mo","East Prairie R-Ii","AARON CORNMAN"
"aaron cornman","2925110","2012-2013","mo","Pierce City R-Vi","AARON CORNMAN","2914430","2014-2018","mo","Hillsboro R-Iii","AARON CORNMAN"
"aaron cornman","2925110","2012-2013","mo","Pierce City R-Vi","AARON CORNMAN","2925450","2024","mo","Poplar Bluff R-I","AARON CORNMAN"
"aaron cornman","2930990","2008-2011","mo","Walnut Grove R-V","DR. AARON CORNMAN","2911220","2022","mo","East Prairie R-Ii","AARON CORNMAN"
"aaron cornman","2930990","2008-2011","mo","Walnut Grove R-V","DR. AARON CORNMAN","2914430","2014-2018","mo","Hillsboro R-Iii","AARON CORNMAN"
"aaron cornman","2930990","2008-2011","mo","Walnut Grove R-V","DR. AARON CORNMAN","2925110","2012-2013","mo","Pierce City R-Vi","AARON CORNMAN"
"aaron cornman","2930990","2008-2011","mo","Walnut Grove R-V","DR. AARON CORNMAN","2925450","2024","mo","Poplar Bluff R-I","AARON CORNMAN"
"aaron downs","4102640","2021-2023","or","Canby SD 86","Aaron Downs","4111290","2023","or","Sherwood SD 88J","Aaron Downs"
"aaron engel","5504960","2015-2019","wi","Galesville-Ettrick-Trempealeau School District","Aaron Engel","5507530","2020-2024","wi","La Crosse School District","AARON ENGEL"
"aaron espolt","4008040","2014-2019","ok","Cleveland","Aaron Espolt","4027570","2024","ok","Shawnee","Aaron Espolt"
"aaron espolt","4022860","2013","ok","Olive","Aaron Espolt","4008040","2014-2019","ok","Cleveland","Aaron Espolt"
"aaron espolt","4022860","2013","ok","Olive","Aaron Espolt","4027570","2024","ok","Shawnee","Aaron Espolt"
"aaron homburg","2009850","2009-2016","ks","Paradise","Homburg, Aaron","2009240","2017-2018, 2021","ks","Marion-Florence","Homburg, Aaron"
"aaron hosman","500017","2007-2010","ar","Paragould School District","HOSMAN, AARON D.","512570","2017-2019","ar","South Side School District","HOSMAN, AARON"
