"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"john thompson","504930","2007-2014, 2016-2020","ar","Dardanelle School District","THOMPSON, JOHN","2906480","2018-2019","mo","Calhoun R-Viii","JOHN THOMPSON"
"michael dean","500079","2016-2019","ar","Two Rivers School District","DEAN, MICHAEL","4800124","2020-2024","tx","Calvin Nelms Charter Schools","Michael Dean"
"dave wilcox","510620","2013","ar","Norphlet School District","WILCOX, DAVE  .","4846200","2020-2024","tx","Winnsboro Isd","Brian Wilcox"
"john thompson","504930","2007-2014, 2016-2020","ar","Dardanelle School District","THOMPSON, JOHN","1301230","2008","ga","Clayton County","THOMPSON,JOHN W"
"darrell smith","514430","2007","ar","Wynne School District","SMITH, DARRELL","1930720","2008","ia","West Bend-Mallard","Darrell Smith"
"ralph carter","507920","2014, 2016","ar","Jessieville School District","CARTER, RALPH","4827630","2018-2023","tx","Lipan Isd","Ralph Carter"
"david smith","504980","2007","ar","Decatur School District","SMITH, DAVID C.","1304140","2017-2019","ga","Pierce County","DAVID KEVIN SMITH"
"james bridges","512180","2009-2014","ar","Scranton School District","BRIDGES, JAMES","618840","2011-2022","ca","Jefferson Elementary","James Bridges"
"kevin brown","600013","2008-2010","ca","Rocklin Unified","Kevin Brown","4005910","2022","ok","Burlington","Kevin Brown"
"marla stephenson","601860","2008-2011","ca","Albany City Unified","Marla Stephenson","4104700","2013-2015","or","Estacada SD 108","Marla Stephenson"
"debra kaplan","642000","2009-2012","ca","West Covina Unified","Debra Kaplan","3609120","2010","ny","Dobbs Ferry Ufsd","Ms. Debra Kaplan"
"kathleen mcnamara","600048","2008-2011","ca","Paso Robles Joint Unified","Kathleen McNamara","2604350","2008, 2011-2012","mi","Beaver Island","Kathleen McNamara"
"anthony smith","628050","2008-2010","ca","Oakland Unified","Anthony Smith","3904408","2012-2022","oh","Winton Woods City","Anthony G. Smith"
"brett nelson","607170","2021","ca","Camino Union Elementary","Brett Nelson","2004890","2021-2024","ks","Clay County","Brett Nelson"
"lisa gonzales","631470","2011-2012","ca","Portola Valley Elementary","Lisa Gonzales","4833360","2011-2017","tx","Odem-Edroy Isd","Lisa Gonzales"
"charles martin","608520","2008-2019","ca","Chowchilla Elementary","Charles Martin","4833010","2017","tx","North Lamar Isd","Charles Martin"
"patricia garcia","905190","2016-2019","ct","Windham School District","ms. patricia garcia","3611970","2020","ny","Geneva City Sd","PATRICIA GARCIA"
"william collins","902880","2010-2017","ct","Newington School District","william collins","3622440","2018-2021","ny","Parishville-Hopkinton Csd","Dr. William Collins"
"marion martinez","901260","2007-2008","ct","East Hartford School District","marion h. martinez","3604870","2013-2015","ny","Binghamton City Sd","Dr. Marion H Martinez"
"deborah wheeler","902220","2009-2013","ct","Litchfield School District","deborah s. wheeler","4224390","2014-2017","pa","Upper Dublin SD","DEBORAH WHEELER"
"william silver","902070","2007-2011","ct","Killingly School District","william m. silver","3617220","2013-2017","ny","Liberty Csd","Mr. William Silver"
