"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"kerry schneider","510290","2007-2010","ar","Mulberry School District","SCHNEIDER, KERRY L.","504080","2016-2024","ar","Cedarville School District","SCHNEIDER, KERRY"
"lee smith","507860","2013-2014, 2016-2018","ar","Horatio School District","SMITH, LEE","509750","2020-2024","ar","Mena School District","Smith, Lee"
"radius baker","513380","2007-2012","ar","Valley View School District","BAKER, RADIUS H.","507990","2014, 2016","ar","Hoxie School District","Baker, Radius"
"barbara padgett","500391","2008","ar","Nwa Academy Of Fine Arts","PADGETT, BARBARA","500415","2017-2018","ar","Ozark Montessori Academy Springdale","Padgett, Barbara"
"andrea martin","502280","2013-2014","ar","Alpena School District","MARTIN, ANDREA","506930","2017-2024","ar","Greenland School District","MARTIN, ANDREA"
"barry scott","509600","2007-2014","ar","Mccrory School District","SCOTT, BARRY N.","505850","2016-2021, 2024","ar","England School District","Scott, Tyler"
"fatih bogrek","500399","2011-2013","ar","Lisa Academy North Charter","BOGREK, FATIH","500074","2017-2024","ar","Lisa Academy Charter","Bogrek, Fatih"
"jack robinson","512420","2007-2009","ar","Shirley School District","ROBINSON, JACK C.","514040","2010-2011","ar","West Side School District","ROBINSON, JACK C."
"lashawnda noel","500402","2019-2024","ar","Jacksonville Lighthouse Charter","Noel, LaShawnDa","500413","2019-2020","ar","Capitol City Lighthouse Academy","Noel, LaShawnDa"
"jeff harris","627510","2009-2012","ca","North Cow Creek Elementary","Jeff Harris","610770","2013-2022","ca","Del Norte County Unified","Jeff Harris"
"amanda platt","628830","2012, 2017-2021","ca","Orick Elem","Wendy Platt","606510","2020-2022","ca","Burnt Ranch Elementary","Amanda Platt"
"jennifer glueck","604890","2014-2017","ca","Big Lagoon Union Elementary","Jennifer Glueck","619950","2018-2019","ca","Klamath-Trinity Joint Unified","Jennifer Glueck"
"catherine scott","609665","2008-2009","ca","Leggett Valley Unified","Catherine Scott","637590","2010-2014","ca","Southern Humboldt Joint Unified","Catherine Scott"
"liz schott","636180","2008-2010","ca","Sebastopol Union Elementary","Liz Schott","619380","2011-2017","ca","Kentfield Elementary","Liz Schott"
"cindy bishop","632040","2021-2022","ca","Redding Elementary","Cindy Bishop","636570","2021-2022","ca","Shasta Union Elementary","Cindy Bishop"
"scott mahoney","641790","2008","ca","Waugh Elementary","Scott Mahoney","633660","2009","ca","Ross Elementary","Scott Mahoney"
"geoff yantz","612210","2008-2011","ca","El Segundo Unified","Geoff Yantz","637500","2012-2022","ca","South Pasadena Unf","Geoff Yantz"
"harley north","613170","2008","ca","Evergreen Union","Harley North","607680","2009-2010","ca","Cascade Union Elementary","Harley North"
"lisa carter","903600","2021, 2023","ct","Regional School District 01","ms. lisa carter","903000","2022","ct","North Canaan School District","ms. lisa carter"
"allen fossbender","901410","2007-2009","ct","Easton School District","allen j. fossbender","903780","2007-2009","ct","Regional School District 09","allen j. fossbender"
"joseph macary","905280","2009-2014","ct","Wolcott School District","joseph p. macary","904680","2015-2023","ct","Vernon School District","mr. joseph macary"
"christopher leone","903515","2017-2023","ct","Regional School District 06","mr. christopher leone","902220","2019-2023","ct","Litchfield School District","mr. christopher leone"
"mark winzler","900360","2007-2008","ct","Bolton School District","mark l. winzler","901680","2019","ct","Granby School District","mr. mark winzler"
"pamela vogel","902040","2018-2019","ct","Kent School District","dr. pamela vogel","903000","2018-2019","ct","North Canaan School District","dr. pamela vogel"
"paul gagliarducci","900390","2013","ct","Bozrah School District","mr. paul gagliarducci","904140","2022","ct","Somers School District","mr. paul gagliarducci"
"janet robinson","901110","2007","ct","Derby School District","janet robinson","902910","2008-2012","ct","Newtown School District","janet robinson"
"ruth levy","903630","2009-2018","ct","Regional School District 04","ruth i. levy","901500","2013-2015, 2017-2018","ct","Essex School District","dr. ruth levy"
"joseph burke","1201320","2010","fl","Monroe","BURKE, JOSEPH","1201080","2011-2012","fl","Lee","BURKE, JOSEPH"
"earl gent","1201500","2012-2014","fl","Palm Beach","GENT, EARL","1201770","2015-2021","fl","St. Lucie","GENT, EARL"
"michael grego","1201470","2010","fl","Osceola","GREGO, MICHAEL","1201560","2013-2020","fl","Pinellas","GREGO, MICHAEL"
"diana greene","1201230","2016-2017","fl","Manatee","GREENE, DIANA","1200480","2018-2019, 2022","fl","Duval","GREENE, DIANA"
"franklin perry","1305220","2007-2008","ga","Twiggs County","PERRY, FRANKLIN DENNIS","1303300","2017-2023","ga","Liberty County","FRANKLIN PERRY"
"jeffrey bearden","1304440","2013","ga","Rome City","JEFFREY BEARDEN","1302220","2014-2023","ga","Forsyth County","JEFFREY BEARDEN"
